NAME,COUNT
turugi,1
rrr,1
Atama,1
Baka,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
Aaa,1
